,run_ID,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nuse (kg),Nfert (kg/ha)
38,026096c7-1f70-44fa-b517-642bd93cf3e9,sesame,0,0,0,0.0,93641.37,1467.56,137424675.91,10146037.72,108.35
39,026096c7-1f70-44fa-b517-642bd93cf3e9,sorghum,0,0,0,0.0,141142.49,4294.9,606192728.98,28222378.55,199.96
40,b08b306a-2770-4289-b1a6-74d7a6b48010,cassava,30,-50,-50,50.0,1202470.92,164.17,197403668.78,10960752.98,9.12
41,b08b306a-2770-4289-b1a6-74d7a6b48010,groundnuts,0,0,0,0.0,56886.85,2388.07,135849897.11,6289979.53,110.57
42,b08b306a-2770-4289-b1a6-74d7a6b48010,maize,0,0,0,0.0,29812.36,2721.74,81141348.74,18735399.22,628.44
43,b08b306a-2770-4289-b1a6-74d7a6b48010,sesame,0,0,0,0.0,93641.37,1467.56,137424675.91,10146037.72,108.35
44,b08b306a-2770-4289-b1a6-74d7a6b48010,sorghum,0,0,0,0.0,141142.49,4294.9,606192728.98,28222378.55,199.96
45,41353dec-3c76-4eae-b44b-81d5a28e3078,cassava,40,-50,-50,50.0,1202470.92,164.17,197403668.78,10960752.98,9.12
46,41353dec-3c76-4eae-b44b-81d5a28e3078,groundnuts,0,0,0,0.0,56886.85,2388.07,135849897.11,6289979.53,110.57
47,41353dec-3c76-4eae-b44b-81d5a28e3078,maize,0,0,0,0.0,29812.36,2721.74,81141348.74,18735399.22,628.44
48,41353dec-3c76-4eae-b44b-81d5a28e3078,sesame,0,0,0,0.0,93641.37,1467.56,137424675.91,10146037.72,108.35
49,41353dec-3c76-4eae-b44b-81d5a28e3078,sorghum,0,0,0,0.0,141142.49,4294.9,606192728.98,28222378.55,199.96
50,d9cf677c-9716-4f66-b27b-fc9e5a4528e4,cassava,50,-50,-50,50.0,1204751.11,176.77,212959882.26,14522183.4,12.05
51,d9cf677c-9716-4f66-b27b-fc9e5a4528e4,groundnuts,0,0,0,0.0,56692.04,2393.57,135696572.73,6263926.22,110.49
52,d9cf677c-9716-4f66-b27b-fc9e5a4528e4,maize,0,0,0,0.0,29093.24,2756.0,80181046.13,15730614.55,540.7
53,d9cf677c-9716-4f66-b27b-fc9e5a4528e4,sesame,0,0,0,0.0,93170.98,1471.9,137138097.24,10069884.82,108.08
54,d9cf677c-9716-4f66-b27b-fc9e5a4528e4,sorghum,0,0,0,0.0,140246.63,4313.89,605008114.73,27767939.01,197.99
55,ec0061be-fca8-4864-bb84-b06b8144f870,cassava,-50,-50,-40,40.0,1199317.77,112.86,135352765.3,2780333.58,2.32
56,ec0061be-fca8-4864-bb84-b06b8144f870,groundnuts,0,0,0,0.0,57131.32,2381.24,136043579.07,6323143.71,110.68
57,ec0061be-fca8-4864-bb84-b06b8144f870,maize,0,0,0,0.0,30977.51,2669.12,82682781.23,26185550.62,845.31
58,ec0061be-fca8-4864-bb84-b06b8144f870,sesame,0,0,0,0.0,94235.57,1462.16,137787851.11,10243700.25,108.7
59,ec0061be-fca8-4864-bb84-b06b8144f870,sorghum,0,0,0,0.0,142291.83,4270.9,607713873.91,28821819.85,202.55
60,e315fbd1-3faf-47be-bca9-a54eaab1190d,cassava,-40,-50,-40,40.0,1199528.26,120.89,145005825.17,3563846.96,2.97
61,e315fbd1-3faf-47be-bca9-a54eaab1190d,groundnuts,0,0,0,0.0,57116.76,2381.64,136031550.71,6321040.93,110.67
62,e315fbd1-3faf-47be-bca9-a54eaab1190d,maize,0,0,0,0.0,30889.39,2672.97,82566447.82,25449735.91,823.9
63,e315fbd1-3faf-47be-bca9-a54eaab1190d,sesame,0,0,0,0.0,94199.62,1462.48,137765271.67,10237470.7,108.68
