crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
cassava,-10,-30,-50,1199810.8,125.2,150219216.46,4048676.91,3.37
groundnuts,0,30,0,183685.91,866.16,159101768.44,8625773.48,46.96
groundnuts,40,50,30,74440.44,1923.04,143151762.88,7198248.73,96.7
cassava,50,40,30,22514.92,5247.38,118144240.55,2372177.06,105.36
cassava,20,10,10,42456.9,2966.03,125928414.56,2628976.58,61.92
maize,-10,-10,30,89293.65,1125.66,100514042.12,5932755.72,66.44
groundnuts,30,-10,-30,788278.53,263.32,207569692.71,19657962.34,24.94
maize,30,-40,40,441966.23,346.02,152930462.97,14605809.36,33.05
cassava,-40,40,-10,7612.69,11797.11,89807702.48,933012.8,122.56
sorghum,-40,-50,-50,1331134.15,631.09,840060759.53,59654089.85,44.81
groundnuts,30,20,50,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,50,-20,40,1199810.8,125.2,150219216.46,4048676.91,3.37
cassava,-50,-50,10,1198984.83,91.97,110266245.33,1331834.6,1.11
sesame,-10,10,40,203303.91,724.28,147249910.3,8197647.87,40.32
groundnuts,-40,40,20,27838.68,3815.35,106214244.05,2517511.48,90.43
maize,50,0,30,126463.51,903.48,114257733.04,9151852.49,72.37
groundnuts,20,40,0,79185.22,1836.76,145444419.06,7578149.91,95.7
cassava,50,30,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
maize,30,-20,-50,303495.55,513.08,155717467.81,24959247.17,82.24
groundnuts,40,-20,50,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,10,40,30,226213.06,2750.79,622263732.55,18669116.98,82.53
groundnuts,40,-10,10,755054.61,256.84,193929401.12,15219866.13,20.16
sesame,30,50,-40,164578.5,1040.16,171187300.37,21766932.74,132.26
sorghum,-40,30,-20,107388.17,5392.57,579097857.98,26474563.88,246.53
maize,0,30,10,49243.91,1784.54,87877849.7,5737030.88,116.5
sorghum,-20,-10,50,419340.38,1515.15,635363517.56,14673060.98,34.99
sorghum,-40,-20,20,744832.22,915.82,682132616.3,18846758.43,25.3
sorghum,-10,-40,10,1282085.48,646.05,828286113.95,54937139.12,42.85
sesame,20,20,0,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,40,10,40,375862.89,482.99,181538640.01,15262755.92,40.61
groundnuts,-20,10,50,85734.05,1484.96,127311551.82,3992655.6,46.57
groundnuts,30,-30,-50,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,-10,-50,20,1261235.21,613.06,773209882.25,34851378.38,27.63
sesame,10,30,-30,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,20,-20,10,1093316.31,739.61,808627314.62,50245603.77,45.96
sesame,-10,-50,40,1274796.98,155.62,198382442.0,15560478.9,12.21
groundnuts,10,50,10,57225.44,2346.1,134256891.3,5891030.16,102.94
maize,-10,50,10,31779.8,2419.55,76892657.94,4287473.16,134.91
cassava,-10,-20,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,20,40,10,226213.06,2750.79,622263732.55,18669116.98,82.53
sesame,-20,30,-20,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,40,50,-50,236234.3,2864.79,676762390.34,48282418.19,204.38
sesame,50,20,40,391656.8,465.87,182463008.76,15317427.14,39.11
maize,50,0,0,146768.68,837.59,122931739.73,12820339.38,87.35
groundnuts,-40,-40,10,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,-20,-10,-40,758502.64,1032.21,782934382.75,49673619.39,65.49
groundnuts,40,50,40,71994.03,1958.8,141022003.36,6776311.67,94.12
groundnuts,30,40,0,88433.58,1697.65,150128952.65,8449004.49,95.54
sorghum,-10,10,-30,489914.31,1414.04,692759441.37,25182123.74,51.4
sesame,30,20,10,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,50,40,-10,202070.99,860.24,173829587.11,18747025.03,92.77
maize,10,-40,50,342157.22,401.04,137218027.28,10101206.35,29.52
groundnuts,10,-10,0,717675.09,255.41,183299100.93,12364134.35,17.23
cassava,-40,10,-50,24512.46,4693.91,115059371.69,2025957.65,82.65
sorghum,-50,50,40,43861.34,10302.85,451896724.64,4739168.7,108.05
maize,0,-30,10,450924.04,338.96,152846245.7,14362128.26,31.85
cassava,50,0,-20,157239.08,1020.98,160538160.92,5769970.22,36.7
groundnuts,40,0,30,367763.09,477.79,175715281.01,11359128.73,30.89
sorghum,10,30,20,184689.6,3310.17,611354642.27,19651683.38,106.4
groundnuts,-20,50,50,31902.85,3476.31,110904337.72,2939083.21,92.13
sesame,20,-40,-50,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,40,0,10,139476.29,859.71,119908851.01,11408022.46,81.79
sesame,20,-40,50,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,40,-30,-50,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,-40,10,50,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,30,-30,40,1238883.08,151.37,187526195.44,12959087.17,10.46
maize,30,0,40,108941.02,991.26,107988379.07,7511387.18,68.95
sorghum,40,-50,10,1326963.85,628.16,833550711.07,56481366.78,42.56
groundnuts,30,50,30,67159.71,2069.27,138971713.09,6501213.84,96.8
cassava,40,-50,-40,1201561.72,155.73,187122898.47,9002631.18,7.49
maize,-50,-50,-50,627696.31,286.86,180059122.28,26531573.71,42.27
cassava,30,40,-10,19855.53,5912.87,117403266.58,2424518.32,122.11
sesame,-30,-50,40,1271595.2,141.94,180493530.13,11394710.8,8.96
groundnuts,20,-50,40,1237512.03,146.39,181153861.66,11436000.86,9.24
groundnuts,-30,50,-10,33049.82,3512.87,116099627.08,3661490.75,110.79
sorghum,-30,10,30,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,0,50,40,45040.82,2734.71,123173453.16,4253992.98,94.45
maize,30,-40,-10,536703.36,319.24,171336278.0,23058143.6,42.96
sesame,0,-20,40,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-40,-30,-10,450924.04,338.96,152846245.7,14362128.26,31.85
cassava,-10,-20,-10,1199810.8,125.2,150219216.46,4048676.91,3.37
cassava,10,-40,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,0,0,-20,503174.11,1467.27,738292939.22,42376090.33,84.22
sorghum,20,-50,-20,1328896.82,629.44,836461099.22,57873320.18,43.55
cassava,30,-20,-10,1199810.8,125.2,150219216.46,4048676.91,3.37
groundnuts,-50,0,50,99411.22,1142.6,113587127.4,2455309.16,24.7
maize,30,-50,20,663015.22,261.57,173425326.85,20809731.39,31.39
sorghum,50,10,10,489914.31,1414.04,692759441.37,25182123.74,51.4
maize,20,-30,30,450924.04,338.96,152846245.7,14362128.26,31.85
groundnuts,20,-10,30,708374.26,249.91,177027937.59,10870471.92,15.35
sorghum,50,40,-20,226213.06,2750.79,622263732.55,18669116.98,82.53
maize,-20,30,0,38075.43,2144.67,81659315.41,5110137.95,134.21
sesame,-30,-20,-20,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,-50,-30,-10,1215636.94,637.78,775314411.12,35914892.04,29.54
maize,-20,40,30,66361.75,1414.94,93897757.13,5635098.56,84.91
groundnuts,40,-30,0,1238883.08,151.37,187526195.44,12959087.17,10.46
cassava,-40,40,10,6901.4,12466.22,86034421.97,781121.82,113.18
sesame,0,0,10,580894.21,335.56,194922482.53,17284053.3,29.75
sorghum,-40,50,-20,74574.66,7284.82,543262949.38,24199669.43,324.5
sesame,-20,0,40,404205.27,397.88,160825673.53,9222574.3,22.82
sorghum,-10,50,-20,123383.87,4833.94,596430416.11,30513288.56,247.3
maize,-30,-20,50,78714.66,1173.34,92359278.03,3940045.35,50.05
sorghum,20,0,-40,586990.12,1299.31,762684290.53,49417470.83,84.19
cassava,-50,-20,-20,1199810.8,125.2,150219216.46,4048676.91,3.37
maize,-20,-50,20,551861.03,285.53,157574017.88,14669004.73,26.58
sorghum,-10,30,-10,161977.41,3805.1,616339638.65,26807038.03,165.5
groundnuts,30,-10,0,749735.08,258.06,193475865.73,15095940.04,20.14
cassava,0,20,-30,47887.57,2641.59,126499197.85,2611258.43,54.53
sorghum,10,0,0,487335.13,1483.73,723075968.66,36029353.82,73.93
maize,50,10,-40,115566.46,945.38,109254546.64,7509549.49,64.98
cassava,-50,0,-50,50064.5,2374.6,118883361.1,1996191.38,39.87
maize,40,-20,30,222421.59,594.98,132335702.79,11965826.82,53.8
maize,-10,-40,0,402155.53,382.23,153717163.83,16166263.18,40.2
sesame,10,40,40,97860.3,1331.62,130312530.24,7122534.78,72.78
cassava,10,-20,0,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,-10,0,-30,671895.34,326.54,219402293.93,26495601.73,39.43
sesame,0,40,-30,132120.95,1175.46,155302243.48,14884824.88,112.66
groundnuts,40,40,10,94142.96,1613.24,151875503.24,8699732.93,92.41
cassava,-30,-20,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
groundnuts,-30,-50,-20,1235854.77,141.25,174567015.79,10009845.23,8.1
sesame,-50,-50,20,1270227.44,135.57,172203264.84,9790381.31,7.71
maize,-20,-20,20,113857.19,945.38,107638564.32,6901617.91,60.62
groundnuts,0,40,-50,78259.83,1925.13,150660692.63,9183298.43,117.34
cassava,0,30,20,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,-30,0,50,33504.06,2848.98,95452549.66,870417.82,25.98
cassava,-30,20,40,47887.57,2641.59,126499197.85,2611258.43,54.53
sorghum,-50,-10,20,328889.53,1894.57,623104765.33,14370215.39,43.69
sesame,30,10,30,359482.53,502.24,180547999.98,15213100.2,42.32
maize,20,10,40,115566.46,945.38,109254546.64,7509549.49,64.98
maize,-10,50,-10,35806.19,2278.76,81593604.07,6186492.13,172.78
cassava,-20,20,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
groundnuts,50,-20,40,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,-40,-10,40,277142.07,2104.84,583339580.78,9832114.4,35.48
sorghum,20,-30,-30,1215636.94,637.78,775314411.12,35914892.04,29.54
maize,-30,-30,50,450924.04,338.96,152846245.7,14362128.26,31.85
sorghum,40,20,30,326270.42,2078.81,678254924.15,29320492.76,89.87
sesame,40,-40,30,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,10,-40,10,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,-50,-20,20,744832.22,915.82,682132616.3,18846758.43,25.3
sorghum,30,-50,10,1326963.85,628.16,833550711.07,56481366.78,42.56
groundnuts,20,40,30,70627.28,1956.36,138172123.14,6170678.82,87.37
groundnuts,-30,40,-20,40932.67,2980.64,122005547.91,4246341.85,103.74
groundnuts,-20,30,-40,183685.91,866.16,159101768.44,8625773.48,46.96
groundnuts,-40,-40,-10,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,10,40,-50,226213.06,2750.79,622263732.55,18669116.98,82.53
maize,30,20,20,80038.22,1265.86,101316853.41,7631984.43,95.35
cassava,-50,20,-20,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,20,30,0,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,-40,-50,0,1274247.84,160.69,204755919.71,17315731.21,13.59
cassava,0,-10,-10,597631.51,246.74,147459517.19,3832429.84,6.41
cassava,0,-40,-10,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-50,10,0,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,-10,20,-20,183685.91,866.16,159101768.44,8625773.48,46.96
groundnuts,10,0,30,282707.61,568.04,160588027.76,8268425.18,29.25
cassava,-30,0,20,38785.63,2628.46,101946309.47,1110939.87,28.64
cassava,-50,30,10,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,-10,-20,50,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,40,-50,40,1239546.22,154.36,191340464.9,13942941.29,11.25
groundnuts,30,50,-30,85247.03,1814.06,154643045.03,10074210.86,118.18
maize,-20,-10,-30,115008.7,1016.13,116864043.2,13496742.31,117.35
sorghum,10,0,-50,605458.95,1269.64,768717722.08,51630110.97,85.27
sesame,40,-40,50,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,10,30,50,154580.1,3717.41,574637387.83,12853700.01,83.15
maize,40,40,50,66361.75,1414.94,93897757.13,5635098.56,84.91
groundnuts,-20,10,40,89075.82,1454.19,129532847.06,4259523.7,47.82
maize,-40,-10,-10,67919.24,1423.04,96651604.47,6972775.57,102.66
cassava,40,-40,40,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,-50,-40,-40,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-40,0,40,35864.6,2087.78,74877354.01,2593111.07,72.3
maize,-30,-50,0,565208.58,288.75,163203412.84,17113384.41,30.28
groundnuts,10,-10,-40,765345.58,265.08,202879267.11,18059733.19,23.6
cassava,-20,-10,20,586573.2,211.98,124339607.0,2063096.94,3.52
cassava,10,10,-40,51653.16,2706.63,139806199.11,3998913.63,77.42
sorghum,-40,-30,10,1215636.94,637.78,775314411.12,35914892.04,29.54
maize,-30,50,20,20863.37,3178.42,66312478.02,2601861.84,124.71
sorghum,30,-40,-50,1325470.66,636.17,843228193.83,61471196.28,46.38
cassava,20,-20,50,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,10,40,-10,226213.06,2750.79,622263732.55,18669116.98,82.53
sorghum,0,0,-50,565660.48,1346.84,761854321.11,50840655.4,89.88
cassava,-30,-20,-30,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-50,-10,-30,554608.46,1343.61,745176803.45,42051148.33,75.82
cassava,0,-30,10,1199810.8,125.2,150219216.46,4048676.91,3.37
maize,40,-10,-10,199673.19,675.59,134896332.56,15999401.29,80.13
maize,30,-40,-40,596683.28,303.68,181198141.73,28931941.79,48.49
sorghum,-40,-50,30,1303708.57,629.58,820786416.98,51083501.46,39.18
sorghum,20,50,20,132428.08,4374.3,579279657.03,16988497.25,128.28
maize,30,30,0,75007.69,1354.44,101593481.92,9113882.74,121.51
sorghum,10,10,40,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,-50,-50,-30,1234511.56,129.36,159693751.3,7285269.85,5.9
groundnuts,-10,20,40,183685.91,866.16,159101768.44,8625773.48,46.96
sorghum,20,30,-40,256394.98,2659.17,681798423.68,44926007.44,175.22
groundnuts,-10,10,-50,164254.95,1012.92,166376760.58,10838752.47,65.99
maize,-40,10,-50,115566.46,945.38,109254546.64,7509549.49,64.98
maize,50,-40,-20,580399.88,305.28,177186122.75,26019533.96,44.83
groundnuts,10,-50,20,1237639.39,148.4,183664088.48,12018739.93,9.71
sorghum,-50,20,40,75732.3,6497.92,492102476.18,6044463.19,79.81
maize,30,20,40,73019.8,1325.66,96799127.17,6116501.96,83.76
cassava,0,-20,-10,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-40,20,-30,146782.01,4206.78,617480335.03,34977154.07,238.29
maize,-10,40,0,66361.75,1414.94,93897757.13,5635098.56,84.91
groundnuts,-20,0,-20,245171.13,650.01,159362666.62,8200311.56,33.45
sorghum,-40,0,40,146719.81,3681.23,540109050.18,7884252.07,53.74
maize,40,10,10,115566.46,945.38,109254546.64,7509549.49,64.98
cassava,20,0,50,83063.33,1499.03,124514459.97,2256349.13,27.16
sesame,40,-10,10,993772.19,233.47,232016034.5,28740207.0,28.92
groundnuts,40,0,40,355389.37,485.47,172532332.31,10618584.48,29.88
cassava,-50,40,-50,7581.45,12305.07,93290194.17,1148546.75,151.49
maize,30,50,10,53816.75,1697.03,91328640.25,6893048.58,128.08
groundnuts,-30,50,10,30454.1,3674.79,111912477.41,3149347.27,103.41
sesame,10,-50,40,1278900.93,166.29,212664019.51,19707728.58,15.41
cassava,-40,-40,-30,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,10,40,-30,226213.06,2750.79,622263732.55,18669116.98,82.53
sesame,40,-30,-50,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,20,-30,-10,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,20,10,-20,201877.29,850.36,171667974.25,11713042.83,58.02
groundnuts,-30,-10,20,649678.67,230.55,149781492.99,5932340.13,9.13
sorghum,10,50,30,192304.67,3250.75,625133439.12,23911447.63,124.34
maize,-40,50,0,18745.48,3483.9,65307353.5,2996851.26,159.87
sorghum,-50,50,20,49658.55,9502.67,471888854.37,6537109.04,131.64
sorghum,30,-20,-10,1083437.81,747.15,809489935.79,50902732.38,46.98
groundnuts,20,50,-20,73000.03,2011.81,146862170.79,8319819.66,113.97
cassava,20,10,-40,58114.24,2485.93,144467846.0,4494380.23,77.34
cassava,0,0,50,65722.98,1767.27,116150115.01,1758006.36,26.75
groundnuts,20,30,20,183685.91,866.16,159101768.44,8625773.48,46.96
sorghum,20,50,40,117965.24,4716.98,556439849.84,12628608.25,107.05
sorghum,50,20,-10,378358.51,1881.49,711878597.75,40593804.59,107.29
maize,10,30,-10,55434.38,1681.0,93185332.96,8001821.13,144.35
groundnuts,-40,20,10,183685.91,866.16,159101768.44,8625773.48,46.96
sorghum,0,-50,10,1326963.85,628.16,833550711.07,56481366.78,42.56
sesame,10,-10,30,905034.56,226.09,204619732.47,18395429.18,20.33
groundnuts,50,20,-20,183685.91,866.16,159101768.44,8625773.48,46.96
groundnuts,0,-50,30,1236249.22,140.21,173337454.94,9759158.54,7.89
sesame,-20,-40,50,1286764.47,177.08,227861004.38,25105003.81,19.51
cassava,0,50,-10,13075.77,8148.95,106553779.92,1776300.42,135.85
cassava,50,-10,0,613411.15,269.04,165031788.76,5791326.56,9.44
groundnuts,-20,30,-20,183685.91,866.16,159101768.44,8625773.48,46.96
sorghum,-50,-40,-20,1233423.05,662.96,817713867.33,51114939.19,41.44
cassava,-20,0,40,51376.16,2118.62,108846649.02,1396424.68,27.18
cassava,0,40,-20,16292.62,6877.19,112047431.83,2082824.75,127.84
sorghum,40,40,-10,226213.06,2750.79,622263732.55,18669116.98,82.53
maize,0,-50,-40,717900.17,261.22,187528195.58,29601754.43,41.23
sesame,0,40,10,99814.99,1350.66,134816446.85,8444286.74,84.6
sorghum,-30,50,-30,80203.34,6939.99,556610012.72,32673099.71,407.38
groundnuts,20,20,-40,183685.91,866.16,159101768.44,8625773.48,46.96
sesame,-10,-20,-10,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,-50,-40,0,1189798.23,658.23,783160492.73,38658641.07,32.49
sesame,10,50,30,84060.58,1513.39,127216681.05,7112856.25,84.62
cassava,50,50,-30,25459.01,5126.28,130509895.17,3777225.51,148.36
cassava,-20,0,50,49102.12,2171.61,106630643.67,1293912.89,26.35
maize,-20,10,10,115566.46,945.38,109254546.64,7509549.49,64.98
sesame,0,20,0,391656.8,465.87,182463008.76,15317427.14,39.11
groundnuts,10,-50,-40,1245763.7,174.91,217891715.56,22532036.43,18.09
groundnuts,30,-10,20,730487.47,253.92,185487624.06,12906833.58,17.67
cassava,30,30,50,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,50,-20,30,1199810.8,125.2,150219216.46,4048676.91,3.37
cassava,20,-10,0,601828.8,253.51,152570400.66,4340679.55,7.21
groundnuts,-30,40,50,31062.55,3469.95,107785599.83,2581545.93,83.11
maize,0,-40,-50,542054.26,327.17,177345001.79,28087010.47,51.82
cassava,-40,20,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,40,-50,30,1199620.58,121.05,145213201.05,3582270.24,2.99
sesame,30,-30,20,1286764.47,177.08,227861004.38,25105003.81,19.51
cassava,50,50,-20,24089.61,5288.41,127395835.1,3407232.72,141.44
sorghum,20,10,-20,489914.31,1414.04,692759441.37,25182123.74,51.4
cassava,-30,20,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,20,20,-30,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,-40,50,-50,62570.81,2040.4,127669660.82,10773033.06,172.17
groundnuts,50,50,-20,90210.61,1729.51,156019860.08,10231711.12,113.42
groundnuts,40,40,-40,117131.99,1429.66,167458586.0,12934516.78,110.43
groundnuts,-30,-40,20,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,20,-20,-40,1238883.08,151.37,187526195.44,12959087.17,10.46
sorghum,40,-20,10,1093316.31,739.61,808627314.62,50245603.77,45.96
sesame,10,20,-50,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,-40,50,0,40356.3,2535.37,102318315.1,4089513.59,101.34
sesame,30,-20,40,1286764.47,177.08,227861004.38,25105003.81,19.51
cassava,-50,10,-20,15174.56,6395.94,97055594.87,1064038.19,70.12
sorghum,30,10,-50,489914.31,1414.04,692759441.37,25182123.74,51.4
maize,0,50,20,35164.98,2240.89,78800921.33,4268769.54,121.39
groundnuts,0,-30,-20,1238883.08,151.37,187526195.44,12959087.17,10.46
cassava,0,-20,40,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-20,10,20,489914.31,1414.04,692759441.37,25182123.74,51.4
sesame,10,-30,40,1286764.47,177.08,227861004.38,25105003.81,19.51
cassava,10,50,10,13577.57,7813.76,106091796.79,1703682.95,125.48
cassava,-10,20,30,47887.57,2641.59,126499197.85,2611258.43,54.53
maize,-20,20,-40,59804.05,1645.73,98421248.63,13145008.31,219.8
sorghum,50,40,10,226213.06,2750.79,622263732.55,18669116.98,82.53
sorghum,-50,-20,10,1093316.31,739.61,808627314.62,50245603.77,45.96
maize,30,30,-20,83366.36,1283.43,106994561.94,12241837.52,146.84
maize,10,-40,10,412846.53,371.68,153446930.81,15661026.85,37.93
sorghum,0,-50,-20,1324045.66,630.7,835080331.48,57296831.07,43.27
sesame,10,-50,20,1283610.33,177.29,227567474.67,25002145.71,19.48
sorghum,40,0,-10,627632.23,1209.46,759094530.1,44455949.19,70.83
groundnuts,-30,50,20,29325.97,3752.0,110031003.17,2939331.56,100.23
cassava,-50,-30,50,1199810.8,125.2,150219216.46,4048676.91,3.37
maize,50,20,-10,102993.14,1094.34,112709787.28,12189048.54,118.35
cassava,30,-30,40,1199810.8,125.2,150219216.46,4048676.91,3.37
cassava,10,-30,30,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-10,30,10,295413.99,2307.34,681620095.6,34988133.42,118.44
sesame,-30,20,-20,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,0,10,-20,357537.58,536.11,191679316.16,20024207.38,56.01
sesame,-30,-50,-10,1280300.28,177.34,227042968.84,24809512.08,19.38
cassava,-30,30,50,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,10,-50,30,1199492.21,117.15,140519588.63,3181985.57,2.65
sorghum,20,40,-20,226213.06,2750.79,622263732.55,18669116.98,82.53
sorghum,-40,20,-40,154004.09,4069.8,626765278.09,40192658.1,260.98
groundnuts,10,20,-30,183685.91,866.16,159101768.44,8625773.48,46.96
maize,-50,10,10,115566.46,945.38,109254546.64,7509549.49,64.98
groundnuts,30,50,20,69557.1,2029.63,141175480.66,6928608.05,99.61
sesame,10,30,-50,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,0,10,-30,489914.31,1414.04,692759441.37,25182123.74,51.4
sorghum,-20,-20,-10,970530.6,812.39,788450118.47,44566959.08,45.92
sesame,-30,40,-10,67370.19,1794.97,120927383.02,6574144.19,97.58
groundnuts,40,0,-20,447050.56,436.23,195014752.39,16731938.98,37.43
groundnuts,0,-40,-40,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,40,-50,10,1242459.88,164.58,204482298.94,17786887.2,14.32
maize,40,40,10,66361.75,1414.94,93897757.13,5635098.56,84.91
cassava,-30,-20,30,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-10,40,30,226213.06,2750.79,622263732.55,18669116.98,82.53
sesame,-10,20,-50,391656.8,465.87,182463008.76,15317427.14,39.11
maize,-40,50,-30,23768.81,3091.14,73472805.12,7293170.54,306.84
sorghum,-10,-10,0,602249.29,1216.19,732446875.32,34032070.4,56.51
sesame,10,-50,30,1280915.83,171.62,219824851.1,22115986.08,17.27
sesame,10,30,-40,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,-50,-20,-20,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-20,-50,-20,634334.82,277.14,175798277.42,23049998.92,36.34
cassava,0,-30,40,1199810.8,125.2,150219216.46,4048676.91,3.37
groundnuts,50,30,40,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,0,50,10,11899.72,8592.68,102250464.79,1493817.02,125.53
sesame,30,-50,20,1290507.92,184.8,238479783.54,29622852.66,22.95
maize,-30,-20,-10,119599.49,950.6,113690990.72,9646464.37,80.66
sorghum,30,-20,30,1040589.09,760.15,791002459.4,43960400.65,42.25
cassava,-30,30,-30,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,50,0,10,779807.95,286.73,223597680.72,26984861.62,34.6
sorghum,-50,30,30,265557.46,2476.67,657697290.47,27177843.54,102.34
sorghum,30,-40,-40,1316319.28,638.68,840713067.02,60364230.94,45.86
maize,30,0,0,133363.87,894.69,119319728.18,11882292.77,89.1
sesame,-10,-40,20,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,50,40,50,226213.06,2750.79,622263732.55,18669116.98,82.53
maize,30,30,-30,87761.19,1249.91,109693168.91,14230575.3,162.15
maize,-30,30,20,27804.96,2594.71,72145696.22,3057265.82,109.95
sesame,20,50,10,106174.77,1318.95,140038809.09,9929560.5,93.52
cassava,20,-40,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,10,20,0,263661.63,2515.39,663212367.4,30054103.67,113.99
maize,-50,-30,-10,450924.04,338.96,152846245.7,14362128.26,31.85
cassava,30,30,30,47887.57,2641.59,126499197.85,2611258.43,54.53
groundnuts,-40,-20,-20,1238883.08,151.37,187526195.44,12959087.17,10.46
sesame,0,20,30,391656.8,465.87,182463008.76,15317427.14,39.11
maize,20,50,0,50562.27,1785.63,90285439.21,7229952.69,142.99
cassava,0,0,-10,89729.64,1494.17,134071733.76,3000992.64,33.44
maize,40,-30,-20,450924.04,338.96,152846245.7,14362128.26,31.85
sesame,40,-40,0,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-20,-50,50,503427.93,286.87,144416220.83,10387943.6,20.63
cassava,30,-40,20,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-20,30,40,109927.39,4903.39,539016892.37,9877916.94,89.86
groundnuts,50,-30,10,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,20,-10,20,715868.24,252.32,180626044.0,11705989.89,16.35
groundnuts,-50,-30,50,1238883.08,151.37,187526195.44,12959087.17,10.46
sesame,10,10,-20,402409.87,494.83,199126052.12,22339832.9,55.52
sesame,40,10,-40,596507.39,386.62,230619571.6,35395876.78,59.34
groundnuts,-50,-10,0,634742.3,219.32,139208849.29,4566151.54,7.19
groundnuts,-10,0,-40,312668.79,562.65,175921973.31,11732975.44,37.53
sorghum,-40,40,0,226213.06,2750.79,622263732.55,18669116.98,82.53
sorghum,10,-40,-50,1315973.23,639.45,841502035.63,60792055.25,46.2
sesame,30,-10,40,927786.43,225.93,209619245.86,19970288.81,21.52
sesame,-20,-20,10,1286764.47,177.08,227861004.38,25105003.81,19.51
sesame,50,50,-40,198228.38,914.99,181376860.12,25282464.45,127.54
maize,-50,40,30,66361.75,1414.94,93897757.13,5635098.56,84.91
cassava,-30,50,-10,6446.41,13563.12,87433344.19,877713.75,136.16
cassava,-30,0,-50,63508.74,2005.35,127357344.31,2555192.46,40.23
cassava,-50,-30,-30,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,-50,50,-30,38818.84,2706.2,105051658.27,5129787.93,132.15
cassava,-50,-10,30,580438.26,174.75,101430231.21,990782.66,1.71
groundnuts,40,10,-40,273859.06,696.14,190643143.87,17103567.57,62.45
