crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
maize,20,20,-20,88877.24,1223.11,108706717.38,12197686.61,137.24
groundnuts,10,40,-50,89094.94,1754.47,156314198.42,10411267.77,116.86
sorghum,30,20,-50,376243.39,1925.07,724294267.93,49992245.87,132.87
groundnuts,-20,0,-40,274358.33,614.41,168569069.98,10095556.22,36.8
cassava,-20,-20,50,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,-10,-50,-30,1306988.78,199.26,260431814.43,41377420.97,31.66
groundnuts,50,-30,-40,1238883.08,151.37,187526195.44,12959087.17,10.46
maize,-40,10,-30,115566.46,945.38,109254546.64,7509549.49,64.98
groundnuts,10,0,-10,333457.27,524.51,174902075.25,11328113.53,33.97
groundnuts,10,-10,20,701526.0,250.05,175418175.4,10515983.0,14.99
sesame,40,-50,30,1289987.31,183.03,236106766.93,28551860.2,22.13
maize,30,-40,30,459335.42,340.84,156559517.82,16028464.24,34.89
cassava,50,20,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
maize,20,-10,50,120314.05,905.05,108890181.78,6957722.78,57.83
maize,-10,-10,-20,123762.43,953.31,117983390.48,12497305.88,100.98
groundnuts,20,50,-40,80164.92,1910.4,153147079.78,9907869.21,123.59
sesame,-50,40,-40,54006.27,2179.72,117718535.24,7254786.86,134.33
groundnuts,-40,-50,-50,1236750.06,149.79,185251894.79,12399447.15,10.03
sesame,-30,50,0,50790.08,2176.35,110537126.8,5132225.4,101.05
sorghum,30,10,-30,489914.31,1414.04,692759441.37,25182123.74,51.4
maize,-30,40,30,66361.75,1414.94,93897757.13,5635098.56,84.91
maize,20,50,-40,62569.27,1601.84,100225731.31,14497418.58,231.7
sesame,40,20,10,391656.8,465.87,182463008.76,15317427.14,39.11
groundnuts,20,40,40,68216.93,1994.16,136035524.73,5800095.41,85.02
sorghum,20,30,0,212556.38,3018.07,641509256.99,27975752.84,131.62
maize,-20,40,-30,66361.75,1414.94,93897757.13,5635098.56,84.91
maize,-40,-40,-50,413552.28,397.29,164300605.34,23508713.45,56.85
groundnuts,-10,20,50,183685.91,866.16,159101768.44,8625773.48,46.96
groundnuts,-40,-40,30,1238883.08,151.37,187526195.44,12959087.17,10.46
maize,20,-50,40,609729.93,267.97,163391081.64,16423593.0,26.94
cassava,30,30,-50,47887.57,2641.59,126499197.85,2611258.43,54.53
sorghum,30,-10,40,674356.5,1069.09,720947779.74,28261875.41,41.91
sesame,10,0,20,598790.93,326.13,195286235.54,17241337.01,28.79
sorghum,-40,-30,20,1215636.94,637.78,775314411.12,35914892.04,29.54
sesame,-50,40,-30,48603.51,2296.53,111619453.69,5766441.26,118.64
maize,20,10,-10,115566.46,945.38,109254546.64,7509549.49,64.98
maize,-40,40,0,66361.75,1414.94,93897757.13,5635098.56,84.91
cassava,-50,-20,-40,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,0,50,20,76798.78,1621.07,124495993.5,6842331.23,89.09
cassava,30,-10,30,594778.91,236.66,140760060.03,3234834.23,5.44
cassava,-10,20,10,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,30,-50,-20,1200565.34,142.45,171015977.06,6479191.07,5.4
maize,-40,20,40,23620.0,2821.45,66642609.89,2065792.23,87.46
groundnuts,-30,20,50,183685.91,866.16,159101768.44,8625773.48,46.96
maize,-20,-10,-40,123035.23,980.39,120622819.47,15935041.97,129.52
sorghum,-20,0,-50,479852.85,1553.11,745262622.88,49127311.89,102.38
sesame,-40,10,-40,224881.64,761.8,171314450.55,15720748.9,69.91
sesame,20,-40,0,1286764.47,177.08,227861004.38,25105003.81,19.51
maize,-10,-10,-30,132327.64,920.46,121802791.01,14652547.84,110.73
sesame,-30,-10,-10,883428.27,233.47,206252105.22,19040844.85,21.55
sesame,0,30,-40,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,0,0,-40,547380.47,1380.13,755456044.47,48478244.0,88.56
cassava,-40,-50,-50,1199750.17,127.99,153555501.25,4383365.29,3.65
groundnuts,-10,0,50,207968.2,688.71,143230138.2,5505756.92,26.47
cassava,-20,-20,-50,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-40,40,50,226213.06,2750.79,622263732.55,18669116.98,82.53
cassava,-30,-30,40,1199810.8,125.2,150219216.46,4048676.91,3.37
groundnuts,-20,40,-30,51751.0,2542.14,131558527.74,5581679.67,107.86
groundnuts,10,-10,40,688693.58,244.7,168525339.37,9081447.03,13.19
sorghum,-50,30,-30,115704.41,5129.0,593448139.87,34008562.84,293.93
sorghum,50,0,-40,728372.62,1077.94,785144741.86,52651923.56,72.29
groundnuts,-20,30,10,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,-10,-40,30,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,20,30,-40,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,-30,-50,40,1242895.28,536.03,666227251.1,14757033.97,11.87
groundnuts,-10,30,20,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,-50,-50,-40,1199317.77,112.86,135352765.3,2780333.58,2.32
sesame,-10,10,-50,405302.51,516.17,209205439.09,28442278.62,70.18
sesame,-40,-50,-30,1287881.32,189.61,244189043.15,32381303.69,25.14
cassava,0,-20,20,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,40,-20,-10,1100681.47,738.12,812433844.06,51826437.66,47.09
sesame,-30,-20,-10,1286764.47,177.08,227861004.38,25105003.81,19.51
cassava,30,40,40,15897.11,6700.89,106524812.46,1625771.5,102.27
sorghum,-40,10,-30,489914.31,1414.04,692759441.37,25182123.74,51.4
sorghum,-20,-50,-40,1335024.21,629.25,840059306.63,59559187.84,44.61
sorghum,0,50,0,136115.62,4366.68,594372765.81,22671103.19,166.56
sorghum,-30,-20,-20,913276.99,856.53,782252198.94,43505868.42,47.64
sesame,50,10,30,433219.56,444.23,192450279.03,18396012.84,42.46
sesame,-20,-50,50,1272268.15,144.1,183329596.32,11987780.04,9.42
sorghum,50,-10,20,816862.13,938.23,766408158.22,39828303.64,48.76
